

*******************************************************************************
Ephemeris / WWW_USER Tue Apr 14 10:13:30 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Artemis II (spacecraft) (-1024) {source: Artemis_II_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:58:33.0000 TDB
Stop  time      : A.D. 2026-Apr-10 23:54:22.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260413.p260710
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-APR-13. PREDICTS-> 2026-JUL-09
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461133.530243055, A.D. 2026-Apr-03 00:43:33.0000, -2.062579081749395E+04, -4.072441344673143E+03, -7.156336568917229E+02, -4.183236553835385E+00, -4.297281435146812E+00, -4.432756337665733E-01,
2461133.540659722, A.D. 2026-Apr-03 00:58:33.0000, -2.407906795290729E+04, -7.864910611795701E+03, -1.102595488879293E+03, -3.534501622505557E+00, -4.127950304808500E+00, -4.172047297546377E-01,
2461133.551076389, A.D. 2026-Apr-03 01:13:33.0000, -2.704697567196501E+04, -1.150341307392322E+04, -1.467709024832996E+03, -3.085575286155307E+00, -3.959523771837674E+00, -3.947625501447938E-01,
2461133.561493055, A.D. 2026-Apr-03 01:28:33.0000, -2.966805765654705E+04, -1.499649461773674E+04, -1.814170935859893E+03, -2.754368559867223E+00, -3.805581859883453E+00, -3.756572020350422E-01,
2461133.571909722, A.D. 2026-Apr-03 01:43:33.0000, -3.202726193887410E+04, -1.835829797470376E+04, -2.144706090951840E+03, -2.498474475660139E+00, -3.667685912178189E+00, -3.592688542835796E-01,
2461133.582326389, A.D. 2026-Apr-03 01:58:33.0000, -3.418059706219010E+04, -2.160272729919953E+04, -2.461504305853545E+03, -2.293827663719662E+00, -3.544436787101308E+00, -3.450494035695684E-01,
2461133.592743055, A.D. 2026-Apr-03 02:13:33.0000, -3.616707096959846E+04, -2.474208884047815E+04, -2.766315846417003E+03, -2.125744302706040E+00, -3.433874805048947E+00, -3.325694296850810E-01,
2461133.603159722, A.D. 2026-Apr-03 02:28:33.0000, -3.801503099735572E+04, -2.778694781466410E+04, -3.060551885622228E+03, -1.984740491756587E+00, -3.334141503762602E+00, -3.215006866341006E-01,
2461133.613576389, A.D. 2026-Apr-03 02:43:33.0000, -3.974578588141980E+04, -3.074630969160192E+04, -3.345364491971088E+03, -1.864405396556800E+00, -3.243637700885567E+00, -3.115918519763774E-01,
2461133.623993055, A.D. 2026-Apr-03 02:58:33.0000, -4.137579987869833E+04, -3.362786244337593E+04, -3.621706457079694E+03, -1.760241314173662E+00, -3.161030893318012E+00, -3.026485304884809E-01,
2461133.634409722, A.D. 2026-Apr-03 03:13:33.0000, -4.291808700937416E+04, -3.643820254862173E+04, -3.890375500482094E+03, -1.668993791123051E+00, -3.085221302650179E+00, -2.945184226150168E-01,
2461133.644826389, A.D. 2026-Apr-03 03:28:33.0000, -4.438313286850476E+04, -3.918302612834291E+04, -4.152047076655173E+03, -1.588245871295990E+00, -3.015301338114362E+00, -2.870806260581140E-01,
2461133.655243055, A.D. 2026-Apr-03 03:43:33.0000, -4.577952478206999E+04, -4.186728498812946E+04, -4.407298980685026E+03, -1.516162246403180E+00, -2.950518958447554E+00, -2.802379387967080E-01,
2461133.665659722, A.D. 2026-Apr-03 03:58:33.0000, -4.711439502898532E+04, -4.449531246921230E+04, -4.656630036457007E+03, -1.451322292673356E+00, -2.890247305734444E+00, -2.739112818929104E-01,
